Bunny ID,GRID,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off
B2822,KLOO,BH,30-Oct-15,15:46:40,30,12 HRS,01-Nov-15,21:30,18-Feb-16,~09:00,NA,already off
B2741,KLOO,AA,30-Oct-15,14:23:18,30,12 HRS,01-Nov-15,~21:00,14-Dec-15,~14:00,22-Jan-16,already off
B2717,KLOO,AU,30-Oct-15,14:26:20,30,12 HRS,01-Nov-15,21:30,18-Feb-16,~09:00,NA,already off
B2824,KLOO,BA,11-Nov-15,13:50:38,30,12 HRS,11-Nov-15,22:00,25-Jan-16,~14:00,03-Feb-16,Already off
B2821,KLOO,AS,30-Oct-15,14:20:07,30,12 HRS,11-Nov-15,22:22,23-Feb-16,~09:00,06-Dec-15,already off
B2712,KLOO,AQ,11-Nov-15,13:52:11,30,12 HRS,11-Nov-15,23:06,22-Feb-16,~09:00,24-Dec-15,already off
B2130,KLOO,BD,11-Nov-15,13:47:53,30,12 HRS,11-Nov-15,22:05,18-Feb-16,~09:00,NA,already off
B3657,KLOO,AG,25-Nov-15,18:30:34,30,12 HRS,27-Nov-15,22:34,27-Dec-15,~14:00,22-Jan-16,already off
B2847,KLOO,AY,25-Nov-15,18:13:23,30,12 HRS,27-Nov-15,20:56,18-Feb-16,~09:00,10-Apr-16,already off
B2837,KLOO,BB,11-Nov-15,13:43:35,30,12 HRS,29-Nov-15,19:15,22-Feb-16,~09:00,NA,already off
B2137,KLOO,AT,25-Nov-15,18:08:07,30,12 HRS,29-Nov-15,19:26,27-Feb-16,~09:00,07-Dec-15,already off
23686,Jo,NG,27-Dec-15,14:40:26,30,12 HRS,27-Dec-15,20:37,29-Jan-16,22:24,01-Feb-16,Already off
23307,Jo,NI,27-Dec-15,14:38:45,30,12 HRS,27-Dec-15,20:14,26-Feb-16,22:12,27-Feb-16,Already turned off
22873,Jo,MT,27-Dec-15,14:32:33,30,12 HRS,27-Dec-15,20:41,26-Feb-16,22:58,27-Feb-16,Already turned off
23694,Jo,ND,30-Dec-15,14:29:05,30,12 HRS,30-Dec-15,20:51,11-Mar-16,~15:00,11-Mar-16,Already off
23684,Jo,NE,30-Dec-15,14:31:54,30,12 HRS,30-Dec-15,21:10,01-Feb-16,~17:00,02-Feb-16,Already off
23670,Jo,NH,30-Dec-15,14:38:15,30,12 HRS,30-Dec-15,21:40,13-Feb-16,~17:00,16-Feb-16,Already off
23638,Jo,NC,27-Dec-15,14:36:06,30,12 HRS,30-Dec-15,22:14,26-Feb-16,22:37,27-Feb-16,Already turned off
23622,Jo,NF,30-Dec-15,14:26:40,30,12 HRS,30-Dec-15,20:42,07-Jan-16,~14:00,23-Jan-16,Already turned off
23617,Jo,MP,27-Dec-15,14:30:26,30,12 HRS,30-Dec-15,22:37,26-Feb-16,22:19,27-Feb-16,Already turned off
B3652,KLOO,AF,23-Jan-16,14:35:44,30,12 HRS,23-Jan-16,21:33,12-Mar-16,~09:00,26-Feb-16,already off
B3255,KLOO,AA,23-Jan-16,14:29:09,30,12 HRS,23-Jan-16,22:17,25-Jan-16,~14:00,05-Feb-16,already off
B3290,KLOO,AC,23-Jan-16,14:31:46,30,12 HRS,24-Jan-16,22:29,18-Apr-16,12:20,02-Mar-16,already off
B2707,KLOO,BG,24-Jan-16,12:43:33,30,12 HRS,24-Jan-16,21:47,03-Feb-16,~14:00,06-Feb-16,already off
23682,Jo,MJ,29-Jan-16,11:56:03,30,12 HRS,29-Jan-16,21:07,26-Feb-16,22:02,02-Mar-16,Already off
23641,Jo,MC,29-Jan-16,11:53:09,30,12 HRS,29-Jan-16,22:06,08-Mar-16,22:57,11-Mar-16,Already off
23623,Jo,MG,29-Jan-16,11:50:11,30,12 HRS,29-Jan-16,20:48,21-Feb-16,~17:00,24-Feb-16,Already off
22813,Jo,MW,29-Jan-16,12:12:05,30,12 HRS,29-Jan-16,21:09,26-Feb-16,21:52,02-Mar-16,Already off
22176,Jo,MR,29-Jan-16,11:58:39,30,12 HRS,29-Jan-16,21:41,01-Feb-16,~16:00,02-Feb-16,Already off
B2847,KLOO,AW,17-Feb-16,20:44:42,30,12 HRS,18-Feb-16,~19:00,18-Apr-16,~12:00,24-Apr-16,already off
B2717,KLOO,AL,17-Feb-16,20:55:39,30,12 HRS,18-Feb-16,~19:00,25-Apr-16,~11:00,30-Apr-16,already off
B2130,KLOO,AA,17-Feb-16,20:57:27,30,12 HRS,18-Feb-16,~19:00,25-Apr-16,~11:00,03-May-16,already off
B2705,KLOO,AE,18-Feb-16,21:39:04,30,12 HRS,19-Feb-16,~19:00,18-Apr-16,~12:00,NA,already off
B2141,KLOO,AK,18-Feb-16,23:41:18,30,12 HRS,19-Feb-16,~19:00,25-Apr-16,~11:00,30-Apr-16,already off
B2837,KLOO,AH,21-Feb-16,13:36:34,30,12 HRS,22-Feb-16,~19:00,07-May-16,~11:00,15-May-16,already off
B2742,KLOO,AO,18-Feb-16,21:23:28,30,12 HRS,22-Feb-16,~19:00,25-Apr-16,~11:00,03-May-16,already off
B2724,KLOO,AJ,18-Feb-16,21:26:17,30,12 HRS,22-Feb-16,~19:00,18-Apr-16,~11:30,24-Apr-16,already off
B2712,KLOO,BD,21-Feb-16,14:35:10,30,12 HRS,22-Feb-16,~19:00,25-Apr-16,~11:00,03-May-16,already off
B2821,KLOO,AM,21-Feb-16,13:34:29,30,12 HRS,23-Feb-16,~19:00,25-Apr-16,~11:00,03-May-16,already off
23686,Jo,MZ,25-Feb-16,16:33:54,30,12 HRS,26-Feb-16,22:39,15-Apr-16,3:32,19-Apr-16,Already off
23682,Jo,MX,25-Feb-16,16:48:16,30,12 HRS,26-Feb-16,22:02,05-Apr-16,0:38,10-Apr-16,Already off
23679,Jo,MR,25-Feb-16,16:42:58,30,12 HRS,26-Feb-16,23:33,27-Apr-16,2:00,28-Apr-16,already off
23638,Jo,NE,25-Feb-16,16:40:12,30,12 HRS,26-Feb-16,22:37,28-Feb-16,~15:00,29-Feb-16,9:46:33
23624,Jo,MH,25-Feb-16,16:29:33,30,12 HRS,26-Feb-16,23:23,03-Mar-16,not actually picked up until March 06,06-Mar-16,16:11:37
23617,Jo,MO,25-Feb-16,16:47:19,30,12 HRS,26-Feb-16,22:19,08-Mar-16,23:23,11-Mar-16,12:15:15
23307,Jo,MF,25-Feb-16,16:46:16,30,12 HRS,26-Feb-16,22:12,27-Apr-16,1:35,29-Apr-16,Already off
22975,Jo,NF,25-Feb-16,16:35:44,30,12 HRS,26-Feb-16,23:34,05-Apr-16,1:03,05-Apr-16,16:36:13
22873,Jo,MI,25-Feb-16,16:44:17,30,12 HRS,26-Feb-16,22:58,05-Apr-16,1:31,13-Apr-16,already off
22813,Jo,MS,25-Feb-16,16:41:40,30,12 HRS,26-Feb-16,21:52,08-Mar-16,23:29,11-Mar-16,17:49:29
B2137,KLOO,AI,21-Feb-16,13:35:31,30,12 HRS,27-Feb-16,~10:00,18-Apr-16,~11:30,NA,already off
23697,Jo,NE,08-Mar-16,10:09:56,30,12 HRS,08-Mar-16,23:19,16-Apr-16,1:27,21-Apr-16,Already off
23641,Jo,MJ,08-Mar-16,10:14:02,30,12 HRS,08-Mar-16,22:57,16-Apr-16,2:40,24-Apr-16,Already off
23617,Jo,NI,08-Mar-16,10:16:22,30,12 HRS,08-Mar-16,23:23,16-Apr-16,2:30,24-Apr-16,10:28:35
23182,Jo,MW,08-Mar-16,10:07:42,30,12 HRS,08-Mar-16,22:35,20-Mar-16,~16:00,03-Apr-16,Already off
22813,Jo,NC,08-Mar-16,10:04:24,30,12 HRS,08-Mar-16,23:29,16-Apr-16,2:38,17-Apr-16,Already off
B3652,KLOO,AU,21-Feb-16,14:27:10,30,12 HRS,12-Mar-16,~19:00,25-Apr-16,~11:00,03-May-16,already off
23734,Jo,NH,04-Apr-16,17:02:16,30,12 HRS,05-Apr-16,1:30,16-Apr-16,1:41,24-Apr-16,Already off
23682,Jo,MP,04-Apr-16,16:15:53,30,12 HRS,05-Apr-16,0:38,27-Apr-16,3:29,28-Apr-16,13:57:20
23615,Jo,MT,04-Apr-16,16:08:11,30,12 HRS,05-Apr-16,1:41,16-Apr-16,1:55,24-Apr-16,10:59:04
23235,Jo,MH,04-Apr-16,16:19:49,30,12 HRS,05-Apr-16,2:12,14-Apr-16,~16:00,15-Apr-16,12:02:01
23183,Jo,MO,04-Apr-16,16:24:48,30,12 HRS,05-Apr-16,2:01,16-Apr-16,2:14,21-Apr-16,12:44:16
22975,Jo,NB,04-Apr-16,16:12:35,30,12 HRS,05-Apr-16,1:03,27-Apr-16,1:15,28-Apr-16,15:39:04
22890,Jo,MG,04-Apr-16,16:28:04,30,12 HRS,05-Apr-16,0:42,26-Jun-16,12:00,26-Jun-16,Already off
22873,Jo,MS,04-Apr-16,16:22:35,30,12 HRS,05-Apr-16,1:31,16-Apr-16,3:20,24-Apr-16,10:01:36
