Modnames,K,AICc,Delta_AICc,AICcWt,LL
Competition and resource,7,2759.07143209151,0,0.999999893575675,-1372.44524754818
Phase and resource,9,2792.0814775226,33.0100454310941,6.7914055424413e-08,-1386.89487166244
Predation and resource,7,2793.21611366214,34.1446815706308,3.85102694700406e-08,-1389.51758833349
Null,2,2883.91529117869,124.843859087187,7.77142040372873e-28,-1439.94803020473
