"","Winter","Mean","Median","Standard deviation","N"
"481","2017-2018",0.073,0,0.17,13
"482","2017-2018",0.073,0,0.17,13
"483","2017-2018",0.073,0,0.17,13
"484","2017-2018",0.073,0,0.17,13
"485","2017-2018",0.073,0,0.17,13
"486","2017-2018",0.073,0,0.17,13
"487","2017-2018",0.073,0,0.17,13
"488","2017-2018",0.073,0,0.17,13
"489","2017-2018",0.073,0,0.17,13
"490","2017-2018",0.073,0,0.17,13
"491","2017-2018",0.073,0,0.17,13
"492","2017-2018",0.073,0,0.17,13
"493","2017-2018",0.073,0,0.17,13
"494","2017-2018",0.073,0,0.17,13
"495","2017-2018",0.073,0,0.17,13
"496","2017-2018",0.073,0,0.17,13
"497","2017-2018",0.073,0,0.17,13
"498","2017-2018",0.073,0,0.17,13
"499","2020-2021",0.18,0.136,0.178,5
"500","2020-2021",0.18,0.136,0.178,5
"501","2020-2021",0.18,0.136,0.178,5
"502","2020-2021",0.18,0.136,0.178,5
"503","2021-2022",0.048,0.048,0.039,2
"504","2021-2022",0.048,0.048,0.039,2
